,Freq Bin,Cell Type_1,Cell Type_2,t_stat,p_value,p_value_corrected,significant
0,20-30,CaP,vRoP,-3.067123926999898,0.0022110654614972136,0.04422130922994427,False
1,20-30,CaP,MiP,-6.057853272893885,1.5903075001346645e-09,3.180615000269329e-08,True
2,20-30,CaP,dRoP,41.63377526937226,1.7015121992055688e-262,3.4030243984111378e-261,True
3,20-30,vRoP,MiP,-1.4088161801048613,0.15922057522354358,1.0,False
4,20-30,vRoP,dRoP,35.925082196233944,2.017585570736253e-177,4.035171141472506e-176,True
5,20-30,MiP,dRoP,54.85524043892789,0.0,0.0,True
6,30-40,CaP,vRoP,17.718575383594878,1.3306271696195826e-49,2.661254339239165e-48,True
7,30-40,CaP,MiP,10.358625259081395,9.396059286599079e-23,1.8792118573198158e-21,True
8,30-40,CaP,dRoP,15.953106668517519,2.325910022596077e-42,4.651820045192153e-41,True
9,30-40,vRoP,MiP,-5.590053761363841,3.148072178881405e-08,6.296144357762811e-07,True
10,30-40,vRoP,dRoP,2.867883766057564,0.004454866575602716,0.08909733151205432,False
11,30-40,MiP,dRoP,6.778569349669204,4.5737686031988926e-11,9.147537206397785e-10,True
0,30-40,dVS,vSMN,-7.638307149952363,5.0118057870827155e-12,1.002361157416543e-10,True
1,30-40,dVS,dSMN,1.773105715571872,0.07875455871162117,1.0,False
2,30-40,vSMN,dSMN,13.548817791789997,7.603075801335192e-30,1.5206151602670384e-28,True
3,20-30,dVS,vSMN,-27.284314054634965,3.839575135470392e-81,7.679150270940783e-80,True
4,20-30,dVS,dSMN,-3.829922933922145,0.00017180972164598123,0.0034361944329196247,False
5,20-30,vSMN,dSMN,17.532930899104525,1.673585427805219e-38,3.347170855610438e-37,True
0,20-30,iSMN,vSMN,-18.331135690937618,3.528541646376485e-68,7.05708329275297e-67,True
1,30-40,iSMN,vSMN,-5.136551248706148,4.3567997348443747e-07,8.713599469688749e-06,True
